name, season, episode, percentage_spoken
michael,1,1,35.925925925925924
michael,1,2,34.68013468013468
michael,1,3,21.296296296296298
michael,1,4,30.833333333333332
michael,1,5,43.13099041533546
michael,1,6,29.561200923787528
michael,2,1,34.413965087281795
michael,2,2,34.78260869565217
michael,2,3,29.77667493796526
michael,2,4,21.1340206185567
michael,2,5,42.25352112676056
michael,2,6,31.003039513677813
michael,2,7,28.571428571428573
michael,2,8,36.65835411471322
michael,2,9,31.951219512195124
michael,2,10,27.377521613832855
michael,2,11,33.819241982507286
michael,2,12,35.609756097560975
michael,2,13,36.53846153846154
michael,2,14,37.02623906705539
michael,2,15,28.29581993569132
michael,2,16,21.2
michael,2,17,28.517110266159698
michael,2,18,25.151515151515152
michael,2,19,36.26373626373626
michael,2,20,20.80536912751678
michael,2,21,31.147540983606557
michael,2,22,27.25060827250608
michael,3,1,36.41618497109827
michael,3,2,36.283185840707965
michael,3,3,28.522336769759452
michael,3,4,33.75796178343949
michael,3,5,14.102564102564102
michael,3,6,27.208480565371026
michael,3,7,26.717557251908396
michael,3,8,26.020408163265305
michael,3,9,28.272251308900522
michael,3,10,21.16788321167883
michael,3,11,30.959752321981423
michael,3,12,18.181818181818183
michael,3,13,23.67149758454106
michael,3,14,29.961089494163424
michael,3,15,27.22222222222222
michael,3,16,25.49019607843137
michael,3,17,25.0
michael,3,18,30.0561797752809
michael,3,19,26.424870466321245
michael,3,20,17.08542713567839
michael,3,21,28.48297213622291
michael,3,22,39.726027397260275
michael,3,23,22.610294117647058
michael,4,1,28.571428571428573
michael,4,2,25.691056910569106
michael,4,3,25.827814569536425
michael,4,4,28.49462365591398
michael,4,5,31.944444444444443
michael,4,6,28.440366972477065
michael,4,7,29.927007299270073
michael,4,8,29.666666666666668
michael,4,9,30.513595166163142
michael,4,10,36.462093862815884
michael,4,11,28.7292817679558
michael,4,12,32.142857142857146
michael,4,13,30.31496062992126
michael,4,14,27.06645056726094
michael,5,1,22.847100175746924
michael,5,2,24.43609022556391
michael,5,3,26.688102893890676
michael,5,4,30.225080385852092
michael,5,5,24.0990990990991
michael,5,6,17.38095238095238
michael,5,7,23.692307692307693
michael,5,8,30.201342281879196
michael,5,9,30.959752321981423
michael,5,10,27.083333333333332
michael,5,11,17.869415807560138
michael,5,12,34.60076045627376
michael,5,13,28.297362110311752
michael,5,14,23.206751054852322
michael,5,15,19.68503937007874
michael,5,16,28.758169934640524
michael,5,17,36.334405144694536
michael,5,18,35.01683501683502
michael,5,19,32.83582089552239
michael,5,20,25.24271844660194
michael,5,21,17.829457364341085
michael,5,22,32.0
michael,5,23,26.38888888888889
michael,5,24,29.780564263322884
michael,5,25,28.523489932885905
michael,5,26,20.146520146520146
michael,6,1,28.823529411764707
michael,6,2,26.865671641791046
michael,6,3,28.382838283828384
michael,6,4,23.465703971119133
michael,6,5,34.36619718309859
michael,6,6,26.984126984126984
michael,6,7,26.645768025078368
michael,6,8,31.06267029972752
michael,6,9,27.125506072874494
michael,6,10,26.492537313432837
michael,6,11,25.93984962406015
michael,6,12,28.35820895522388
michael,6,13,33.587786259541986
michael,6,14,30.827067669172934
michael,6,15,23.31081081081081
michael,6,16,18.819776714513555
michael,6,17,18.181818181818183
michael,6,18,30.249110320284696
michael,6,19,20.61281337047354
michael,6,20,17.228464419475657
michael,6,21,26.443768996960486
michael,6,22,29.87012987012987
michael,6,23,25.07645259938838
michael,6,24,27.346938775510203
michael,7,1,24.166666666666668
michael,7,2,11.567164179104477
michael,7,3,18.777292576419214
michael,7,4,27.32919254658385
michael,7,5,21.73913043478261
michael,7,6,20.774647887323944
michael,7,7,26.13240418118467
michael,7,8,20.14388489208633
michael,7,9,21.753246753246753
michael,7,10,18.006430868167204
michael,7,11,21.73913043478261
michael,7,12,23.510971786833856
michael,7,13,12.937062937062937
michael,7,14,13.461538461538462
michael,7,15,20.62146892655367
michael,7,16,45.833333333333336
michael,7,17,18.210862619808307
michael,7,18,24.82758620689655
michael,7,19,28.45528455284553
michael,7,20,31.439393939393938
michael,7,21,35.25835866261398
michael,9,23,0.3831417624521073
jim,1,1,13.703703703703704
jim,1,2,11.784511784511784
jim,1,3,17.59259259259259
jim,1,4,17.5
jim,1,5,8.626198083067093
jim,1,6,15.242494226327944
jim,2,1,10.723192019950124
jim,2,2,6.832298136645963
jim,2,3,17.866004962779158
jim,2,4,17.2680412371134
jim,2,5,8.732394366197184
jim,2,6,16.41337386018237
jim,2,7,16.883116883116884
jim,2,8,11.970074812967582
jim,2,9,15.121951219512194
jim,2,10,8.069164265129682
jim,2,11,9.329446064139942
jim,2,12,15.121951219512194
jim,2,13,16.987179487179485
jim,2,14,10.495626822157435
jim,2,15,7.717041800643087
jim,2,16,10.0
jim,2,17,13.688212927756654
jim,2,18,7.575757575757576
jim,2,19,8.424908424908425
jim,2,20,9.060402684563758
jim,2,21,12.131147540983607
jim,2,22,12.895377128953772
jim,3,1,7.514450867052023
jim,3,2,9.734513274336283
jim,3,3,5.841924398625429
jim,3,4,6.050955414012739
jim,3,5,15.064102564102564
jim,3,6,8.480565371024735
jim,3,7,8.01526717557252
jim,3,8,13.775510204081632
jim,3,9,16.230366492146597
jim,3,10,8.211678832116789
jim,3,11,10.21671826625387
jim,3,12,14.772727272727273
jim,3,13,12.077294685990339
jim,3,14,9.727626459143968
