name,most_common_word
Concierge Marie,mmmhmmm
Client,talking
Dacvid Walalce,hey
David Wallcve,michael
Dacvid Wallace,michael
Leo,weed
Vance Refrigeration Guy,hey
Police Officer 1,sir
Police Officer 2,sir
Guy buying doll,120
Rehab Nurse,Does not use words
Everyone watching,Does not use words
Entire Prince family,Does not use words
Prince Grandfather,paper
Entire office,hot
Prince,grandfather
Prince Granddaughter,grandma
Prince Grandmother,granddaughter
Prince Son,work
Phyllis and Creed,ahhhh
Lawyer,provision
CPR trainer,abc
CPR Trainer,20
Rose,alive
Jessica Alba,nana
Lily,sam
Sam,lilly
Warehouse Michael,michael
Julia,nice
A.J.,laughs
Phone Salesman,great
Jim, Pam, Michael and Dwight,ayyyy
Blood Drive Worker,yup
Blood Girl,nervous
Lynn,kevin
Blonde,um
Eric,uh
Girl,guys
Charles,michael
Stephanie,david
Employees,michael
Isaac,interviewing
Angela and Kelly,yep
Supervisor,work
Michal,vikram
Nana,michael
Chares,striker
Old Woman,chance
Erin,andy
Dwight and Erin,west
Dwight and Andy,country
Michael, Pam & Ryan,ugly
Secretary,uh
Automated phone voice,reach
Mr. Schofield,meeting
Financial Guy,prices
Ty,program
Jessica,andy
Vance Refrigeration Guy 1,girl
Vance Refrigeration Guy 2,Does not use words
VRG 1,girls
VRG 2,room
Rolph,40
AJ,hey
Man from Buffalo,kidding
Woman from Buffalo,david
Dwight & Andy,parkour
Female Intern,hands
Female intern,confused
Maurie,talking
Dwight, Jim & Pam,stare
Jim & Pam,uncertainly
Megan,sing
Gwenneth,sad
Front Desk Clerk,sir
Mr. Halpert,pams
Mema,television
Mr. Beesly,meet
Little Girl,bad
Penny,kevin
Isabel,dwight
Hotel Employee,sir
Hotel Manager,malone
Pam's mom,kristies
Tom Halpert,excuse
Pete Halpert,sisters
Tom and Pete,laughing
Pam's dad,hey
Grotti,side
Andy and Dwight,groans
Credit card rep,halpert
Rep,card
Various,bye
Keena Gifford,salesmen
Helene,michael
David Wallace's Secretary,michael
Voice on CD player,bill
Limo Driver,car
Laurie,scott
Registrar,questions
Security,supposed
Woman in line,gonna
Man in line,Does not use words
Shareholder,criminal
Female Shareholder,limousine
Second Shareholder,corrupt
Third Shareholder,headed
Fourth Shareholder,gonna
O'Keefe,excuse
Mikela,scott
Students,gonna
Teacher,scott
Lefevre,college
Zion,zion
Deliveryman,order
Michael and Erin,gonna
Daryl,sell
Office,aw
Kelly and Erin,christmas
Matt,oscar
Computron,computron
Fake Stanley,Does not use words
Gabe,uh
Andy & Erin,dunder
Christian Slater,sabre
Jo Bennett,find
Jo,michael
Jerry,jerry
Teddy Wallace,huh
Mrs. Wallace,hey
Teddy,suck
Dwight, Jim and Michael,Does not use words
Policeman,pull
Hospital employee,yeah
(Pam's mom) Heleen,Does not use words
Kathy,yeah
Dale,Does not use words
Clark,yeah
Isabelle,knock
D,
Warehouse guy 1,bust
Warehouse guy 2,Does not use words
Reid,erin
Night cleaning crew,retreat
Meredith, Creed, Oscar and Matt,cheering
Miichael,Does not use words
Julie,yeah
Hide,bad
Bar Manager,uh
Bouncer,problem
Girl at table,Does not use words
Cookie Monster,kevins
Dwight.,pam
Hayworth's waiter,hot
Oscar's voice from the computer,hey
Donna,michael
Michael and Donna,indistinct
Mihael,Does not use words
Old lady,young
Glen,scared
Gym Instructor,excuse
Gym instructor,listen
Dwight and Angela,joint
Shane,guys
Reporter,michael
Realtor,phone
Luke,coffee
Window treatment guy,office
Angel,long
Salesman,remember
Usher,excuse
Shelby,michael
Sweeney Todd,johanna
Mexican Man,speaking
Son,man
Nate,uh
Employees except Dwight,Does not use words
Astrid,mommy
Carroll,michael
Carrol,love
Danny,good
Steve,michael
Darryl and Andy,singing
Church congregation,singing
Pastor,love
Female church member,prayers
Male church member,good
Female church member [to Michael],good
Doug [church member],doug
Doug,davey
Mee-Maw,fine
MeeMaw,lost
Carla,sir
Jim's Dad,jim
Bus driver,schedule
Michael and Andy,bus
Another guy,bus
Radio,nordquist
Cece,mama
TV,winner
Meridith,drama
Robotic Voice,wuphf
Ryan and Michael,wuphf
Phyliss,god
Dwight & Nate,pam
Passer-by,yeah
Bass Player,michael
Justine,christmas
Jada,merry
Robert,andy
Darrly,handing
Member,pretty
Video Michael,whoa
Bookstore employee,read
DJ,skating
David Brent,yeah
Older guy,thinking
Phyllis, Stanley, Dwight,oooh
Younger Guy,point
Older Woman,nard
Professor Powell,um
Ryan and Kelly,married
Helen,jim
Attendant,left
